Level	Rule Name	Subject	Property	Value
WARN	duplicate_exact_synonym	GO:0002120	oboInOwl:hasExactSynonym	predatory aggression	
WARN	duplicate_exact_synonym	NBO:0000089	oboInOwl:hasExactSynonym	predatory aggression	
WARN	duplicate_exact_synonym	GO:0045297	oboInOwl:hasExactSynonym	post-mating behaviour	
WARN	duplicate_exact_synonym	NBO:0000078	oboInOwl:hasExactSynonym	post-mating behaviour	
WARN	duplicate_exact_synonym	GO:0019233	oboInOwl:hasExactSynonym	nociception	
WARN	duplicate_exact_synonym	NBO:0000331	oboInOwl:hasExactSynonym	nociception	
WARN	duplicate_exact_synonym	GO:0007617	oboInOwl:hasExactSynonym	mating behaviour	
WARN	duplicate_exact_synonym	NBO:0000014	oboInOwl:hasExactSynonym	mating behaviour	
WARN	duplicate_exact_synonym	GO:0008049	oboInOwl:hasExactSynonym	male courtship behaviour	
WARN	duplicate_exact_synonym	NBO:0000637	oboInOwl:hasExactSynonym	male courtship behaviour	
WARN	duplicate_exact_synonym	NBO:0000244	oboInOwl:hasExactSynonym	hysteria	
